sample	variable	value	description
110	whole_tree_age	14.1026	whole_tree_age
110	island_ori_age	12.8533	island_origin_age
110	island_ori_region	1	island_origin_region
110	rho_d_2	0.05	base_dispersal_rate
110	rho_e_2	0.05	base_extinction_rate
110	rho_w_2	0.05	base_w_speciation_rate
110	rho_b_2	0.25	base_b_speciation_rate
110	sigma_d_1	0	long-distance?
110	sigma_e_1	-1.5	high-island?
110	sigma_w_1	0	high-island?
110	sigma_b_1	0	long-distance?
110	sigma_d_2	0	old-to-young?
110	sigma_e_2	0	net-growth?
110	sigma_w_2	0	net-growth?
110	sigma_b_2	-1.5	old-to-young?
110	phi_d_1	0	distance
110	phi_e_1	0	elevation
110	phi_w_1	0.5	elevation
110	phi_b_1	1	distance
110	phi_d_2	0	age-diff
110	phi_e_2	0	age
110	phi_w_2	-0.5	age
110	phi_b_2	0	age-diff
