sample	variable	value	description
68	whole_tree_age	25.3041	whole_tree_age
68	island_ori_age	11.313	island_origin_age
68	island_ori_region	2	island_origin_region
68	rho_d_2	0.05	base_dispersal_rate
68	rho_e_2	0.05	base_extinction_rate
68	rho_w_2	0.05	base_w_speciation_rate
68	rho_b_2	0.25	base_b_speciation_rate
68	sigma_d_1	-1.5	long-distance?
68	sigma_e_1	-1.5	high-island?
68	sigma_w_1	0	high-island?
68	sigma_b_1	1.5	long-distance?
68	sigma_d_2	1.5	old-to-young?
68	sigma_e_2	1.5	net-growth?
68	sigma_w_2	0	net-growth?
68	sigma_b_2	-1.5	old-to-young?
68	phi_d_1	-0.5	distance
68	phi_e_1	-1	elevation
68	phi_w_1	0.5	elevation
68	phi_b_1	0	distance
68	phi_d_2	0.5	age-diff
68	phi_e_2	1	age
68	phi_w_2	0	age
68	phi_b_2	0	age-diff
