sample	variable	value	description
76	whole_tree_age	7.14098	whole_tree_age
76	island_ori_age	2.5138	island_origin_age
76	island_ori_region	3	island_origin_region
76	rho_d_2	0.025	base_dispersal_rate
76	rho_e_2	0.025	base_extinction_rate
76	rho_w_2	0.025	base_w_speciation_rate
76	rho_b_2	0.15	base_b_speciation_rate
76	sigma_d_1	0	long-distance?
76	sigma_e_1	0	high-island?
76	sigma_w_1	1	high-island?
76	sigma_b_1	0	long-distance?
76	sigma_d_2	0	old-to-young?
76	sigma_e_2	0	net-growth?
76	sigma_w_2	0	net-growth?
76	sigma_b_2	-1	old-to-young?
76	phi_d_1	0	distance
76	phi_e_1	0	elevation
76	phi_w_1	1	elevation
76	phi_b_1	1	distance
76	phi_d_2	1	age-diff
76	phi_e_2	0	age
76	phi_w_2	-1	age
76	phi_b_2	-1	age-diff
