sample	variable	value	description
344	whole_tree_age	21.0924	whole_tree_age
344	island_ori_age	13.8734	island_origin_age
344	island_ori_region	1	island_origin_region
344	rho_d_2	0.05	base_dispersal_rate
344	rho_e_2	0.05	base_extinction_rate
344	rho_w_2	0.05	base_w_speciation_rate
344	rho_b_2	0.25	base_b_speciation_rate
344	sigma_d_1	-1.5	long-distance?
344	sigma_e_1	0	high-island?
344	sigma_w_1	1.5	high-island?
344	sigma_b_1	0	long-distance?
344	sigma_d_2	1.5	old-to-young?
344	sigma_e_2	1.5	net-growth?
344	sigma_w_2	0	net-growth?
344	sigma_b_2	0	old-to-young?
344	phi_d_1	0	distance
344	phi_e_1	0	elevation
344	phi_w_1	0.5	elevation
344	phi_b_1	0	distance
344	phi_d_2	0.5	age-diff
344	phi_e_2	1	age
344	phi_w_2	-0.5	age
344	phi_b_2	0	age-diff
