sample	variable	value	description
199	whole_tree_age	24.847	whole_tree_age
199	island_ori_age	10.6337	island_origin_age
199	island_ori_region	1	island_origin_region
199	rho_d_2	0.05	base_dispersal_rate
199	rho_e_2	0.05	base_extinction_rate
199	rho_w_2	0.05	base_w_speciation_rate
199	rho_b_2	0.25	base_b_speciation_rate
199	sigma_d_1	0	long-distance?
199	sigma_e_1	-1.5	high-island?
199	sigma_w_1	1.5	high-island?
199	sigma_b_1	0	long-distance?
199	sigma_d_2	1.5	old-to-young?
199	sigma_e_2	1.5	net-growth?
199	sigma_w_2	0	net-growth?
199	sigma_b_2	0	old-to-young?
199	phi_d_1	0	distance
199	phi_e_1	0	elevation
199	phi_w_1	0	elevation
199	phi_b_1	0	distance
199	phi_d_2	0	age-diff
199	phi_e_2	0	age
199	phi_w_2	-0.5	age
199	phi_b_2	-1	age-diff
