sample	variable	value	description
29	whole_tree_age	29.1072	whole_tree_age
29	island_ori_age	13.7523	island_origin_age
29	island_ori_region	1	island_origin_region
29	rho_d_2	0.025	base_dispersal_rate
29	rho_e_2	0.025	base_extinction_rate
29	rho_w_2	0.025	base_w_speciation_rate
29	rho_b_2	0.15	base_b_speciation_rate
29	sigma_d_1	0	long-distance?
29	sigma_e_1	-1	high-island?
29	sigma_w_1	1	high-island?
29	sigma_b_1	1	long-distance?
29	sigma_d_2	0	old-to-young?
29	sigma_e_2	0	net-growth?
29	sigma_w_2	0	net-growth?
29	sigma_b_2	0	old-to-young?
29	phi_d_1	-1	distance
29	phi_e_1	0	elevation
29	phi_w_1	0	elevation
29	phi_b_1	1	distance
29	phi_d_2	0	age-diff
29	phi_e_2	0	age
29	phi_w_2	-1	age
29	phi_b_2	-1	age-diff
