sample	variable	value	description
162	whole_tree_age	17.3625	whole_tree_age
162	island_ori_age	6.75106	island_origin_age
162	island_ori_region	1	island_origin_region
162	rho_d_2	0.05	base_dispersal_rate
162	rho_e_2	0.05	base_extinction_rate
162	rho_w_2	0.05	base_w_speciation_rate
162	rho_b_2	0.2	base_b_speciation_rate
162	sigma_d_1	0	long-distance?
162	sigma_e_1	0	high-island?
162	sigma_w_1	0	high-island?
162	sigma_b_1	1	long-distance?
162	sigma_d_2	0	old-to-young?
162	sigma_e_2	0	net-growth?
162	sigma_w_2	0	net-growth?
162	sigma_b_2	1	old-to-young?
162	phi_d_1	0	distance
162	phi_e_1	0	elevation
162	phi_w_1	1	elevation
162	phi_b_1	0	distance
162	phi_d_2	0	age-diff
162	phi_e_2	1	age
162	phi_w_2	0	age
162	phi_b_2	1	age-diff
