sample	variable	value	description
202	whole_tree_age	23.6663	whole_tree_age
202	island_ori_age	18.254	island_origin_age
202	island_ori_region	1	island_origin_region
202	rho_d_2	0.05	base_dispersal_rate
202	rho_e_2	0.05	base_extinction_rate
202	rho_w_2	0.05	base_w_speciation_rate
202	rho_b_2	0.25	base_b_speciation_rate
202	sigma_d_1	0	long-distance?
202	sigma_e_1	-1.5	high-island?
202	sigma_w_1	0	high-island?
202	sigma_b_1	1.5	long-distance?
202	sigma_d_2	1.5	old-to-young?
202	sigma_e_2	1.5	net-growth?
202	sigma_w_2	0	net-growth?
202	sigma_b_2	-1.5	old-to-young?
202	phi_d_1	-0.5	distance
202	phi_e_1	-1	elevation
202	phi_w_1	0.5	elevation
202	phi_b_1	0	distance
202	phi_d_2	0	age-diff
202	phi_e_2	1	age
202	phi_w_2	0	age
202	phi_b_2	-1	age-diff
