sample	variable	value	description
191	whole_tree_age	18.4568	whole_tree_age
191	island_ori_age	10.576	island_origin_age
191	island_ori_region	2	island_origin_region
191	rho_d_2	0.05	base_dispersal_rate
191	rho_e_2	0.05	base_extinction_rate
191	rho_w_2	0.05	base_w_speciation_rate
191	rho_b_2	0.25	base_b_speciation_rate
191	sigma_d_1	0	long-distance?
191	sigma_e_1	-1.5	high-island?
191	sigma_w_1	1.5	high-island?
191	sigma_b_1	1.5	long-distance?
191	sigma_d_2	0	old-to-young?
191	sigma_e_2	1.5	net-growth?
191	sigma_w_2	-1.5	net-growth?
191	sigma_b_2	0	old-to-young?
191	phi_d_1	-0.5	distance
191	phi_e_1	0	elevation
191	phi_w_1	0	elevation
191	phi_b_1	0	distance
191	phi_d_2	0.5	age-diff
191	phi_e_2	1	age
191	phi_w_2	-0.5	age
191	phi_b_2	-1	age-diff
