sample	variable	value	description
168	whole_tree_age	24.4424	whole_tree_age
168	island_ori_age	16.7464	island_origin_age
168	island_ori_region	1	island_origin_region
168	rho_d_2	0.05	base_dispersal_rate
168	rho_e_2	0.05	base_extinction_rate
168	rho_w_2	0.05	base_w_speciation_rate
168	rho_b_2	0.2	base_b_speciation_rate
168	sigma_d_1	0	long-distance?
168	sigma_e_1	0	high-island?
168	sigma_w_1	0	high-island?
168	sigma_b_1	0	long-distance?
168	sigma_d_2	0	old-to-young?
168	sigma_e_2	-1	net-growth?
168	sigma_w_2	-1	net-growth?
168	sigma_b_2	1	old-to-young?
168	phi_d_1	-1	distance
168	phi_e_1	0	elevation
168	phi_w_1	0	elevation
168	phi_b_1	1	distance
168	phi_d_2	0	age-diff
168	phi_e_2	1	age
168	phi_w_2	-1	age
168	phi_b_2	1	age-diff
