sample	variable	value	description
66	whole_tree_age	22.1089	whole_tree_age
66	island_ori_age	1.14342	island_origin_age
66	island_ori_region	3	island_origin_region
66	rho_d_2	0.025	base_dispersal_rate
66	rho_e_2	0.025	base_extinction_rate
66	rho_w_2	0.025	base_w_speciation_rate
66	rho_b_2	0.15	base_b_speciation_rate
66	sigma_d_1	-1	long-distance?
66	sigma_e_1	0	high-island?
66	sigma_w_1	1	high-island?
66	sigma_b_1	0	long-distance?
66	sigma_d_2	0	old-to-young?
66	sigma_e_2	0	net-growth?
66	sigma_w_2	0	net-growth?
66	sigma_b_2	-1	old-to-young?
66	phi_d_1	-1	distance
66	phi_e_1	-1	elevation
66	phi_w_1	1	elevation
66	phi_b_1	1	distance
66	phi_d_2	0	age-diff
66	phi_e_2	1	age
66	phi_w_2	-1	age
66	phi_b_2	-1	age-diff
