sample	variable	value	description
245	whole_tree_age	21.1177	whole_tree_age
245	island_ori_age	9.98613	island_origin_age
245	island_ori_region	1	island_origin_region
245	rho_d_2	0.05	base_dispersal_rate
245	rho_e_2	0.05	base_extinction_rate
245	rho_w_2	0.05	base_w_speciation_rate
245	rho_b_2	0.25	base_b_speciation_rate
245	sigma_d_1	0	long-distance?
245	sigma_e_1	0	high-island?
245	sigma_w_1	0	high-island?
245	sigma_b_1	0	long-distance?
245	sigma_d_2	1.5	old-to-young?
245	sigma_e_2	1.5	net-growth?
245	sigma_w_2	0	net-growth?
245	sigma_b_2	-1.5	old-to-young?
245	phi_d_1	-0.5	distance
245	phi_e_1	0	elevation
245	phi_w_1	0	elevation
245	phi_b_1	0	distance
245	phi_d_2	0.5	age-diff
245	phi_e_2	0	age
245	phi_w_2	-0.5	age
245	phi_b_2	0	age-diff
