sample	variable	value	description
205	whole_tree_age	16.5468	whole_tree_age
205	island_ori_age	6.67609	island_origin_age
205	island_ori_region	2	island_origin_region
205	rho_d_2	0.05	base_dispersal_rate
205	rho_e_2	0.05	base_extinction_rate
205	rho_w_2	0.05	base_w_speciation_rate
205	rho_b_2	0.25	base_b_speciation_rate
205	sigma_d_1	-1.5	long-distance?
205	sigma_e_1	0	high-island?
205	sigma_w_1	0	high-island?
205	sigma_b_1	0	long-distance?
205	sigma_d_2	0	old-to-young?
205	sigma_e_2	1.5	net-growth?
205	sigma_w_2	-1.5	net-growth?
205	sigma_b_2	0	old-to-young?
205	phi_d_1	0	distance
205	phi_e_1	-1	elevation
205	phi_w_1	0	elevation
205	phi_b_1	1	distance
205	phi_d_2	0	age-diff
205	phi_e_2	1	age
205	phi_w_2	0	age
205	phi_b_2	0	age-diff
