sample	variable	value	description
30	whole_tree_age	14.8979	whole_tree_age
30	island_ori_age	1.44838	island_origin_age
30	island_ori_region	3	island_origin_region
30	rho_d_2	0.05	base_dispersal_rate
30	rho_e_2	0.05	base_extinction_rate
30	rho_w_2	0.05	base_w_speciation_rate
30	rho_b_2	0.2	base_b_speciation_rate
30	sigma_d_1	0	long-distance?
30	sigma_e_1	-1	high-island?
30	sigma_w_1	0	high-island?
30	sigma_b_1	1	long-distance?
30	sigma_d_2	0	old-to-young?
30	sigma_e_2	0	net-growth?
30	sigma_w_2	0	net-growth?
30	sigma_b_2	0	old-to-young?
30	phi_d_1	0	distance
30	phi_e_1	-1	elevation
30	phi_w_1	0	elevation
30	phi_b_1	1	distance
30	phi_d_2	-1	age-diff
30	phi_e_2	1	age
30	phi_w_2	0	age
30	phi_b_2	0	age-diff
