sample	variable	value	description
328	whole_tree_age	24.557	whole_tree_age
328	island_ori_age	16.667	island_origin_age
328	island_ori_region	1	island_origin_region
328	rho_d_2	0.05	base_dispersal_rate
328	rho_e_2	0.05	base_extinction_rate
328	rho_w_2	0.05	base_w_speciation_rate
328	rho_b_2	0.2	base_b_speciation_rate
328	sigma_d_1	0	long-distance?
328	sigma_e_1	0	high-island?
328	sigma_w_1	0	high-island?
328	sigma_b_1	0	long-distance?
328	sigma_d_2	1	old-to-young?
328	sigma_e_2	-1	net-growth?
328	sigma_w_2	-1	net-growth?
328	sigma_b_2	1	old-to-young?
328	phi_d_1	-1	distance
328	phi_e_1	-1	elevation
328	phi_w_1	1	elevation
328	phi_b_1	0	distance
328	phi_d_2	-1	age-diff
328	phi_e_2	0	age
328	phi_w_2	-1	age
328	phi_b_2	1	age-diff
