sample	variable	value	description
127	whole_tree_age	25.5206	whole_tree_age
127	island_ori_age	14.2994	island_origin_age
127	island_ori_region	1	island_origin_region
127	rho_d_2	0.05	base_dispersal_rate
127	rho_e_2	0.05	base_extinction_rate
127	rho_w_2	0.05	base_w_speciation_rate
127	rho_b_2	0.2	base_b_speciation_rate
127	sigma_d_1	-1	long-distance?
127	sigma_e_1	-1	high-island?
127	sigma_w_1	0	high-island?
127	sigma_b_1	0	long-distance?
127	sigma_d_2	1	old-to-young?
127	sigma_e_2	-1	net-growth?
127	sigma_w_2	-1	net-growth?
127	sigma_b_2	1	old-to-young?
127	phi_d_1	-1	distance
127	phi_e_1	-1	elevation
127	phi_w_1	0	elevation
127	phi_b_1	0	distance
127	phi_d_2	0	age-diff
127	phi_e_2	0	age
127	phi_w_2	-1	age
127	phi_b_2	0	age-diff
