sample	variable	value	description
196	whole_tree_age	19.2665	whole_tree_age
196	island_ori_age	2.82572	island_origin_age
196	island_ori_region	3	island_origin_region
196	rho_d_2	0.05	base_dispersal_rate
196	rho_e_2	0.05	base_extinction_rate
196	rho_w_2	0.05	base_w_speciation_rate
196	rho_b_2	0.25	base_b_speciation_rate
196	sigma_d_1	-1.5	long-distance?
196	sigma_e_1	-1.5	high-island?
196	sigma_w_1	0	high-island?
196	sigma_b_1	1.5	long-distance?
196	sigma_d_2	0	old-to-young?
196	sigma_e_2	1.5	net-growth?
196	sigma_w_2	0	net-growth?
196	sigma_b_2	-1.5	old-to-young?
196	phi_d_1	0	distance
196	phi_e_1	-1	elevation
196	phi_w_1	0	elevation
196	phi_b_1	0	distance
196	phi_d_2	0.5	age-diff
196	phi_e_2	0	age
196	phi_w_2	-0.5	age
196	phi_b_2	-1	age-diff
