sample	variable	value	description
284	whole_tree_age	20.968	whole_tree_age
284	island_ori_age	1.38877	island_origin_age
284	island_ori_region	3	island_origin_region
284	rho_d_2	0.05	base_dispersal_rate
284	rho_e_2	0.05	base_extinction_rate
284	rho_w_2	0.05	base_w_speciation_rate
284	rho_b_2	0.2	base_b_speciation_rate
284	sigma_d_1	-1	long-distance?
284	sigma_e_1	0	high-island?
284	sigma_w_1	1	high-island?
284	sigma_b_1	0	long-distance?
284	sigma_d_2	0	old-to-young?
284	sigma_e_2	-1	net-growth?
284	sigma_w_2	-1	net-growth?
284	sigma_b_2	0	old-to-young?
284	phi_d_1	-1	distance
284	phi_e_1	-1	elevation
284	phi_w_1	0	elevation
284	phi_b_1	0	distance
284	phi_d_2	-1	age-diff
284	phi_e_2	1	age
284	phi_w_2	-1	age
284	phi_b_2	0	age-diff
