sample	variable	value	description
210	whole_tree_age	13.2869	whole_tree_age
210	island_ori_age	3.52362	island_origin_age
210	island_ori_region	3	island_origin_region
210	rho_d_2	0.05	base_dispersal_rate
210	rho_e_2	0.05	base_extinction_rate
210	rho_w_2	0.05	base_w_speciation_rate
210	rho_b_2	0.25	base_b_speciation_rate
210	sigma_d_1	-1.5	long-distance?
210	sigma_e_1	-1.5	high-island?
210	sigma_w_1	1.5	high-island?
210	sigma_b_1	0	long-distance?
210	sigma_d_2	0	old-to-young?
210	sigma_e_2	0	net-growth?
210	sigma_w_2	0	net-growth?
210	sigma_b_2	0	old-to-young?
210	phi_d_1	-0.5	distance
210	phi_e_1	-1	elevation
210	phi_w_1	0.5	elevation
210	phi_b_1	0	distance
210	phi_d_2	0	age-diff
210	phi_e_2	1	age
210	phi_w_2	0	age
210	phi_b_2	-1	age-diff
