sample	variable	value	description
131	whole_tree_age	26.8786	whole_tree_age
131	island_ori_age	17.1163	island_origin_age
131	island_ori_region	1	island_origin_region
131	rho_d_2	0.025	base_dispersal_rate
131	rho_e_2	0.025	base_extinction_rate
131	rho_w_2	0.025	base_w_speciation_rate
131	rho_b_2	0.15	base_b_speciation_rate
131	sigma_d_1	-1	long-distance?
131	sigma_e_1	-1	high-island?
131	sigma_w_1	0	high-island?
131	sigma_b_1	0	long-distance?
131	sigma_d_2	1	old-to-young?
131	sigma_e_2	0	net-growth?
131	sigma_w_2	-1	net-growth?
131	sigma_b_2	-1	old-to-young?
131	phi_d_1	0	distance
131	phi_e_1	0	elevation
131	phi_w_1	0	elevation
131	phi_b_1	1	distance
131	phi_d_2	0	age-diff
131	phi_e_2	0	age
131	phi_w_2	-1	age
131	phi_b_2	-1	age-diff
