sample	variable	value	description
26	whole_tree_age	20.1407	whole_tree_age
26	island_ori_age	12.6469	island_origin_age
26	island_ori_region	1	island_origin_region
26	rho_d_2	0.025	base_dispersal_rate
26	rho_e_2	0.025	base_extinction_rate
26	rho_w_2	0.025	base_w_speciation_rate
26	rho_b_2	0.15	base_b_speciation_rate
26	sigma_d_1	-1	long-distance?
26	sigma_e_1	-1	high-island?
26	sigma_w_1	0	high-island?
26	sigma_b_1	1	long-distance?
26	sigma_d_2	1	old-to-young?
26	sigma_e_2	0	net-growth?
26	sigma_w_2	-1	net-growth?
26	sigma_b_2	0	old-to-young?
26	phi_d_1	0	distance
26	phi_e_1	0	elevation
26	phi_w_1	1	elevation
26	phi_b_1	1	distance
26	phi_d_2	0	age-diff
26	phi_e_2	0	age
26	phi_w_2	0	age
26	phi_b_2	-1	age-diff
