sample	variable	value	description
43	whole_tree_age	17.2383	whole_tree_age
43	island_ori_age	12.3017	island_origin_age
43	island_ori_region	1	island_origin_region
43	rho_d_2	0.05	base_dispersal_rate
43	rho_e_2	0.05	base_extinction_rate
43	rho_w_2	0.05	base_w_speciation_rate
43	rho_b_2	0.25	base_b_speciation_rate
43	sigma_d_1	0	long-distance?
43	sigma_e_1	0	high-island?
43	sigma_w_1	1.5	high-island?
43	sigma_b_1	1.5	long-distance?
43	sigma_d_2	0	old-to-young?
43	sigma_e_2	1.5	net-growth?
43	sigma_w_2	0	net-growth?
43	sigma_b_2	0	old-to-young?
43	phi_d_1	0	distance
43	phi_e_1	-1	elevation
43	phi_w_1	0.5	elevation
43	phi_b_1	1	distance
43	phi_d_2	0.5	age-diff
43	phi_e_2	1	age
43	phi_w_2	-0.5	age
43	phi_b_2	-1	age-diff
