sample	variable	value	description
133	whole_tree_age	26.6749	whole_tree_age
133	island_ori_age	2.46974	island_origin_age
133	island_ori_region	3	island_origin_region
133	rho_d_2	0.025	base_dispersal_rate
133	rho_e_2	0.025	base_extinction_rate
133	rho_w_2	0.025	base_w_speciation_rate
133	rho_b_2	0.15	base_b_speciation_rate
133	sigma_d_1	0	long-distance?
133	sigma_e_1	0	high-island?
133	sigma_w_1	1	high-island?
133	sigma_b_1	0	long-distance?
133	sigma_d_2	1	old-to-young?
133	sigma_e_2	0	net-growth?
133	sigma_w_2	-1	net-growth?
133	sigma_b_2	-1	old-to-young?
133	phi_d_1	-1	distance
133	phi_e_1	-1	elevation
133	phi_w_1	1	elevation
133	phi_b_1	0	distance
133	phi_d_2	1	age-diff
133	phi_e_2	0	age
133	phi_w_2	-1	age
133	phi_b_2	-1	age-diff
