sample	variable	value	description
103	whole_tree_age	24.4254	whole_tree_age
103	island_ori_age	8.19596	island_origin_age
103	island_ori_region	1	island_origin_region
103	rho_d_2	0.025	base_dispersal_rate
103	rho_e_2	0.025	base_extinction_rate
103	rho_w_2	0.025	base_w_speciation_rate
103	rho_b_2	0.15	base_b_speciation_rate
103	sigma_d_1	-1	long-distance?
103	sigma_e_1	-1	high-island?
103	sigma_w_1	0	high-island?
103	sigma_b_1	1	long-distance?
103	sigma_d_2	0	old-to-young?
103	sigma_e_2	1	net-growth?
103	sigma_w_2	0	net-growth?
103	sigma_b_2	0	old-to-young?
103	phi_d_1	-1	distance
103	phi_e_1	-1	elevation
103	phi_w_1	1	elevation
103	phi_b_1	0	distance
103	phi_d_2	0	age-diff
103	phi_e_2	1	age
103	phi_w_2	-1	age
103	phi_b_2	0	age-diff
