sample	variable	value	description
4	whole_tree_age	26.9204	whole_tree_age
4	island_ori_age	18.1604	island_origin_age
4	island_ori_region	1	island_origin_region
4	rho_d_2	0.05	base_dispersal_rate
4	rho_e_2	0.05	base_extinction_rate
4	rho_w_2	0.05	base_w_speciation_rate
4	rho_b_2	0.2	base_b_speciation_rate
4	sigma_d_1	0	long-distance?
4	sigma_e_1	-1	high-island?
4	sigma_w_1	0	high-island?
4	sigma_b_1	1	long-distance?
4	sigma_d_2	1	old-to-young?
4	sigma_e_2	-1	net-growth?
4	sigma_w_2	0	net-growth?
4	sigma_b_2	0	old-to-young?
4	phi_d_1	0	distance
4	phi_e_1	0	elevation
4	phi_w_1	0	elevation
4	phi_b_1	0	distance
4	phi_d_2	0	age-diff
4	phi_e_2	1	age
4	phi_w_2	0	age
4	phi_b_2	0	age-diff
