sample	variable	value	description
121	whole_tree_age	27.6504	whole_tree_age
121	island_ori_age	12.4414	island_origin_age
121	island_ori_region	1	island_origin_region
121	rho_d_2	0.05	base_dispersal_rate
121	rho_e_2	0.05	base_extinction_rate
121	rho_w_2	0.05	base_w_speciation_rate
121	rho_b_2	0.2	base_b_speciation_rate
121	sigma_d_1	0	long-distance?
121	sigma_e_1	-1	high-island?
121	sigma_w_1	0	high-island?
121	sigma_b_1	0	long-distance?
121	sigma_d_2	0	old-to-young?
121	sigma_e_2	-1	net-growth?
121	sigma_w_2	0	net-growth?
121	sigma_b_2	0	old-to-young?
121	phi_d_1	-1	distance
121	phi_e_1	-1	elevation
121	phi_w_1	1	elevation
121	phi_b_1	1	distance
121	phi_d_2	0	age-diff
121	phi_e_2	0	age
121	phi_w_2	0	age
121	phi_b_2	1	age-diff
