sample	variable	value	description
12	whole_tree_age	21.2084	whole_tree_age
12	island_ori_age	14.7931	island_origin_age
12	island_ori_region	1	island_origin_region
12	rho_d_2	0.05	base_dispersal_rate
12	rho_e_2	0.05	base_extinction_rate
12	rho_w_2	0.05	base_w_speciation_rate
12	rho_b_2	0.2	base_b_speciation_rate
12	sigma_d_1	0	long-distance?
12	sigma_e_1	0	high-island?
12	sigma_w_1	1	high-island?
12	sigma_b_1	1	long-distance?
12	sigma_d_2	1	old-to-young?
12	sigma_e_2	-1	net-growth?
12	sigma_w_2	-1	net-growth?
12	sigma_b_2	1	old-to-young?
12	phi_d_1	-1	distance
12	phi_e_1	0	elevation
12	phi_w_1	1	elevation
12	phi_b_1	0	distance
12	phi_d_2	-1	age-diff
12	phi_e_2	0	age
12	phi_w_2	-1	age
12	phi_b_2	0	age-diff
