sample	variable	value	description
276	whole_tree_age	26.6436	whole_tree_age
276	island_ori_age	11.1218	island_origin_age
276	island_ori_region	1	island_origin_region
276	rho_d_2	0.05	base_dispersal_rate
276	rho_e_2	0.05	base_extinction_rate
276	rho_w_2	0.05	base_w_speciation_rate
276	rho_b_2	0.25	base_b_speciation_rate
276	sigma_d_1	0	long-distance?
276	sigma_e_1	0	high-island?
276	sigma_w_1	0	high-island?
276	sigma_b_1	1.5	long-distance?
276	sigma_d_2	0	old-to-young?
276	sigma_e_2	0	net-growth?
276	sigma_w_2	0	net-growth?
276	sigma_b_2	0	old-to-young?
276	phi_d_1	0	distance
276	phi_e_1	-1	elevation
276	phi_w_1	0	elevation
276	phi_b_1	1	distance
276	phi_d_2	0.5	age-diff
276	phi_e_2	0	age
276	phi_w_2	-0.5	age
276	phi_b_2	-1	age-diff
