sample	variable	value	description
67	whole_tree_age	24.605	whole_tree_age
67	island_ori_age	16.7559	island_origin_age
67	island_ori_region	1	island_origin_region
67	rho_d_2	0.05	base_dispersal_rate
67	rho_e_2	0.05	base_extinction_rate
67	rho_w_2	0.05	base_w_speciation_rate
67	rho_b_2	0.2	base_b_speciation_rate
67	sigma_d_1	-1	long-distance?
67	sigma_e_1	-1	high-island?
67	sigma_w_1	1	high-island?
67	sigma_b_1	0	long-distance?
67	sigma_d_2	0	old-to-young?
67	sigma_e_2	-1	net-growth?
67	sigma_w_2	0	net-growth?
67	sigma_b_2	0	old-to-young?
67	phi_d_1	0	distance
67	phi_e_1	0	elevation
67	phi_w_1	0	elevation
67	phi_b_1	1	distance
67	phi_d_2	0	age-diff
67	phi_e_2	0	age
67	phi_w_2	0	age
67	phi_b_2	0	age-diff
