sample	variable	value	description
125	whole_tree_age	6.01981	whole_tree_age
125	island_ori_age	2.25484	island_origin_age
125	island_ori_region	3	island_origin_region
125	rho_d_2	0.025	base_dispersal_rate
125	rho_e_2	0.025	base_extinction_rate
125	rho_w_2	0.025	base_w_speciation_rate
125	rho_b_2	0.15	base_b_speciation_rate
125	sigma_d_1	0	long-distance?
125	sigma_e_1	0	high-island?
125	sigma_w_1	1	high-island?
125	sigma_b_1	1	long-distance?
125	sigma_d_2	1	old-to-young?
125	sigma_e_2	0	net-growth?
125	sigma_w_2	0	net-growth?
125	sigma_b_2	-1	old-to-young?
125	phi_d_1	-1	distance
125	phi_e_1	0	elevation
125	phi_w_1	0	elevation
125	phi_b_1	1	distance
125	phi_d_2	1	age-diff
125	phi_e_2	0	age
125	phi_w_2	0	age
125	phi_b_2	-1	age-diff
