sample	variable	value	description
156	whole_tree_age	10.1596	whole_tree_age
156	island_ori_age	8.52493	island_origin_age
156	island_ori_region	1	island_origin_region
156	rho_d_2	0.05	base_dispersal_rate
156	rho_e_2	0.05	base_extinction_rate
156	rho_w_2	0.05	base_w_speciation_rate
156	rho_b_2	0.2	base_b_speciation_rate
156	sigma_d_1	0	long-distance?
156	sigma_e_1	0	high-island?
156	sigma_w_1	1	high-island?
156	sigma_b_1	0	long-distance?
156	sigma_d_2	0	old-to-young?
156	sigma_e_2	-1	net-growth?
156	sigma_w_2	0	net-growth?
156	sigma_b_2	1	old-to-young?
156	phi_d_1	-1	distance
156	phi_e_1	0	elevation
156	phi_w_1	1	elevation
156	phi_b_1	1	distance
156	phi_d_2	-1	age-diff
156	phi_e_2	1	age
156	phi_w_2	0	age
156	phi_b_2	0	age-diff
