sample	variable	value	description
100	whole_tree_age	18.454	whole_tree_age
100	island_ori_age	17.5327	island_origin_age
100	island_ori_region	1	island_origin_region
100	rho_d_2	0.05	base_dispersal_rate
100	rho_e_2	0.05	base_extinction_rate
100	rho_w_2	0.05	base_w_speciation_rate
100	rho_b_2	0.25	base_b_speciation_rate
100	sigma_d_1	-1.5	long-distance?
100	sigma_e_1	-1.5	high-island?
100	sigma_w_1	1.5	high-island?
100	sigma_b_1	1.5	long-distance?
100	sigma_d_2	0	old-to-young?
100	sigma_e_2	1.5	net-growth?
100	sigma_w_2	0	net-growth?
100	sigma_b_2	-1.5	old-to-young?
100	phi_d_1	-0.5	distance
100	phi_e_1	0	elevation
100	phi_w_1	0	elevation
100	phi_b_1	1	distance
100	phi_d_2	0	age-diff
100	phi_e_2	0	age
100	phi_w_2	-0.5	age
100	phi_b_2	-1	age-diff
