sample	variable	value	description
233	whole_tree_age	31.4201	whole_tree_age
233	island_ori_age	13.8486	island_origin_age
233	island_ori_region	1	island_origin_region
233	rho_d_2	0.05	base_dispersal_rate
233	rho_e_2	0.05	base_extinction_rate
233	rho_w_2	0.05	base_w_speciation_rate
233	rho_b_2	0.25	base_b_speciation_rate
233	sigma_d_1	-1.5	long-distance?
233	sigma_e_1	-1.5	high-island?
233	sigma_w_1	1.5	high-island?
233	sigma_b_1	0	long-distance?
233	sigma_d_2	1.5	old-to-young?
233	sigma_e_2	0	net-growth?
233	sigma_w_2	-1.5	net-growth?
233	sigma_b_2	0	old-to-young?
233	phi_d_1	0	distance
233	phi_e_1	-1	elevation
233	phi_w_1	0.5	elevation
233	phi_b_1	0	distance
233	phi_d_2	0	age-diff
233	phi_e_2	0	age
233	phi_w_2	0	age
233	phi_b_2	-1	age-diff
