sample	variable	value	description
160	whole_tree_age	13.8342	whole_tree_age
160	island_ori_age	6.84116	island_origin_age
160	island_ori_region	1	island_origin_region
160	rho_d_2	0.05	base_dispersal_rate
160	rho_e_2	0.05	base_extinction_rate
160	rho_w_2	0.05	base_w_speciation_rate
160	rho_b_2	0.2	base_b_speciation_rate
160	sigma_d_1	-1	long-distance?
160	sigma_e_1	0	high-island?
160	sigma_w_1	0	high-island?
160	sigma_b_1	1	long-distance?
160	sigma_d_2	1	old-to-young?
160	sigma_e_2	-1	net-growth?
160	sigma_w_2	-1	net-growth?
160	sigma_b_2	0	old-to-young?
160	phi_d_1	-1	distance
160	phi_e_1	-1	elevation
160	phi_w_1	0	elevation
160	phi_b_1	1	distance
160	phi_d_2	0	age-diff
160	phi_e_2	0	age
160	phi_w_2	-1	age
160	phi_b_2	1	age-diff
