sample	variable	value	description
163	whole_tree_age	7.36269	whole_tree_age
163	island_ori_age	7.11433	island_origin_age
163	island_ori_region	2	island_origin_region
163	rho_d_2	0.05	base_dispersal_rate
163	rho_e_2	0.05	base_extinction_rate
163	rho_w_2	0.05	base_w_speciation_rate
163	rho_b_2	0.25	base_b_speciation_rate
163	sigma_d_1	-1.5	long-distance?
163	sigma_e_1	-1.5	high-island?
163	sigma_w_1	0	high-island?
163	sigma_b_1	0	long-distance?
163	sigma_d_2	0	old-to-young?
163	sigma_e_2	0	net-growth?
163	sigma_w_2	0	net-growth?
163	sigma_b_2	-1.5	old-to-young?
163	phi_d_1	-0.5	distance
163	phi_e_1	-1	elevation
163	phi_w_1	0	elevation
163	phi_b_1	1	distance
163	phi_d_2	0.5	age-diff
163	phi_e_2	1	age
163	phi_w_2	-0.5	age
163	phi_b_2	0	age-diff
