sample	variable	value	description
316	whole_tree_age	27.874	whole_tree_age
316	island_ori_age	11.9963	island_origin_age
316	island_ori_region	1	island_origin_region
316	rho_d_2	0.05	base_dispersal_rate
316	rho_e_2	0.05	base_extinction_rate
316	rho_w_2	0.05	base_w_speciation_rate
316	rho_b_2	0.25	base_b_speciation_rate
316	sigma_d_1	0	long-distance?
316	sigma_e_1	0	high-island?
316	sigma_w_1	1.5	high-island?
316	sigma_b_1	0	long-distance?
316	sigma_d_2	1.5	old-to-young?
316	sigma_e_2	0	net-growth?
316	sigma_w_2	-1.5	net-growth?
316	sigma_b_2	0	old-to-young?
316	phi_d_1	0	distance
316	phi_e_1	0	elevation
316	phi_w_1	0	elevation
316	phi_b_1	0	distance
316	phi_d_2	0.5	age-diff
316	phi_e_2	0	age
316	phi_w_2	0	age
316	phi_b_2	0	age-diff
