sample	variable	value	description
37	whole_tree_age	12.1814	whole_tree_age
37	island_ori_age	3.44942	island_origin_age
37	island_ori_region	4	island_origin_region
37	rho_d_2	0.05	base_dispersal_rate
37	rho_e_2	0.05	base_extinction_rate
37	rho_w_2	0.05	base_w_speciation_rate
37	rho_b_2	0.2	base_b_speciation_rate
37	sigma_d_1	-1	long-distance?
37	sigma_e_1	0	high-island?
37	sigma_w_1	0	high-island?
37	sigma_b_1	0	long-distance?
37	sigma_d_2	0	old-to-young?
37	sigma_e_2	-1	net-growth?
37	sigma_w_2	0	net-growth?
37	sigma_b_2	0	old-to-young?
37	phi_d_1	-1	distance
37	phi_e_1	-1	elevation
37	phi_w_1	0	elevation
37	phi_b_1	0	distance
37	phi_d_2	0	age-diff
37	phi_e_2	0	age
37	phi_w_2	-1	age
37	phi_b_2	1	age-diff
