sample	variable	value	description
115	whole_tree_age	14.2188	whole_tree_age
115	island_ori_age	3.64489	island_origin_age
115	island_ori_region	4	island_origin_region
115	rho_d_2	0.05	base_dispersal_rate
115	rho_e_2	0.05	base_extinction_rate
115	rho_w_2	0.05	base_w_speciation_rate
115	rho_b_2	0.2	base_b_speciation_rate
115	sigma_d_1	0	long-distance?
115	sigma_e_1	-1	high-island?
115	sigma_w_1	0	high-island?
115	sigma_b_1	0	long-distance?
115	sigma_d_2	1	old-to-young?
115	sigma_e_2	-1	net-growth?
115	sigma_w_2	-1	net-growth?
115	sigma_b_2	0	old-to-young?
115	phi_d_1	-1	distance
115	phi_e_1	0	elevation
115	phi_w_1	1	elevation
115	phi_b_1	0	distance
115	phi_d_2	0	age-diff
115	phi_e_2	1	age
115	phi_w_2	-1	age
115	phi_b_2	1	age-diff
