sample	variable	value	description
82	whole_tree_age	25.8557	whole_tree_age
82	island_ori_age	15.0874	island_origin_age
82	island_ori_region	1	island_origin_region
82	rho_d_2	0.05	base_dispersal_rate
82	rho_e_2	0.05	base_extinction_rate
82	rho_w_2	0.05	base_w_speciation_rate
82	rho_b_2	0.25	base_b_speciation_rate
82	sigma_d_1	0	long-distance?
82	sigma_e_1	0	high-island?
82	sigma_w_1	1.5	high-island?
82	sigma_b_1	0	long-distance?
82	sigma_d_2	0	old-to-young?
82	sigma_e_2	1.5	net-growth?
82	sigma_w_2	0	net-growth?
82	sigma_b_2	-1.5	old-to-young?
82	phi_d_1	0	distance
82	phi_e_1	-1	elevation
82	phi_w_1	0.5	elevation
82	phi_b_1	1	distance
82	phi_d_2	0	age-diff
82	phi_e_2	0	age
82	phi_w_2	0	age
82	phi_b_2	0	age-diff
