sample	variable	value	description
185	whole_tree_age	19.5269	whole_tree_age
185	island_ori_age	19.2008	island_origin_age
185	island_ori_region	1	island_origin_region
185	rho_d_2	0.025	base_dispersal_rate
185	rho_e_2	0.025	base_extinction_rate
185	rho_w_2	0.025	base_w_speciation_rate
185	rho_b_2	0.15	base_b_speciation_rate
185	sigma_d_1	-1	long-distance?
185	sigma_e_1	0	high-island?
185	sigma_w_1	1	high-island?
185	sigma_b_1	0	long-distance?
185	sigma_d_2	0	old-to-young?
185	sigma_e_2	0	net-growth?
185	sigma_w_2	0	net-growth?
185	sigma_b_2	-1	old-to-young?
185	phi_d_1	0	distance
185	phi_e_1	0	elevation
185	phi_w_1	1	elevation
185	phi_b_1	0	distance
185	phi_d_2	0	age-diff
185	phi_e_2	0	age
185	phi_w_2	-1	age
185	phi_b_2	0	age-diff
