sample	variable	value	description
327	whole_tree_age	30.1982	whole_tree_age
327	island_ori_age	13.0322	island_origin_age
327	island_ori_region	1	island_origin_region
327	rho_d_2	0.05	base_dispersal_rate
327	rho_e_2	0.05	base_extinction_rate
327	rho_w_2	0.05	base_w_speciation_rate
327	rho_b_2	0.25	base_b_speciation_rate
327	sigma_d_1	0	long-distance?
327	sigma_e_1	-1.5	high-island?
327	sigma_w_1	0	high-island?
327	sigma_b_1	1.5	long-distance?
327	sigma_d_2	1.5	old-to-young?
327	sigma_e_2	1.5	net-growth?
327	sigma_w_2	-1.5	net-growth?
327	sigma_b_2	0	old-to-young?
327	phi_d_1	0	distance
327	phi_e_1	-1	elevation
327	phi_w_1	0.5	elevation
327	phi_b_1	1	distance
327	phi_d_2	0.5	age-diff
327	phi_e_2	1	age
327	phi_w_2	-0.5	age
327	phi_b_2	-1	age-diff
