sample	variable	value	description
56	whole_tree_age	28.1452	whole_tree_age
56	island_ori_age	11.7257	island_origin_age
56	island_ori_region	1	island_origin_region
56	rho_d_2	0.05	base_dispersal_rate
56	rho_e_2	0.05	base_extinction_rate
56	rho_w_2	0.05	base_w_speciation_rate
56	rho_b_2	0.2	base_b_speciation_rate
56	sigma_d_1	-1	long-distance?
56	sigma_e_1	0	high-island?
56	sigma_w_1	1	high-island?
56	sigma_b_1	1	long-distance?
56	sigma_d_2	0	old-to-young?
56	sigma_e_2	-1	net-growth?
56	sigma_w_2	-1	net-growth?
56	sigma_b_2	1	old-to-young?
56	phi_d_1	0	distance
56	phi_e_1	-1	elevation
56	phi_w_1	0	elevation
56	phi_b_1	1	distance
56	phi_d_2	-1	age-diff
56	phi_e_2	0	age
56	phi_w_2	-1	age
56	phi_b_2	0	age-diff
