sample	variable	value	description
183	whole_tree_age	13.9379	whole_tree_age
183	island_ori_age	2.50087	island_origin_age
183	island_ori_region	3	island_origin_region
183	rho_d_2	0.025	base_dispersal_rate
183	rho_e_2	0.025	base_extinction_rate
183	rho_w_2	0.025	base_w_speciation_rate
183	rho_b_2	0.15	base_b_speciation_rate
183	sigma_d_1	0	long-distance?
183	sigma_e_1	0	high-island?
183	sigma_w_1	1	high-island?
183	sigma_b_1	1	long-distance?
183	sigma_d_2	0	old-to-young?
183	sigma_e_2	0	net-growth?
183	sigma_w_2	-1	net-growth?
183	sigma_b_2	-1	old-to-young?
183	phi_d_1	0	distance
183	phi_e_1	0	elevation
183	phi_w_1	0	elevation
183	phi_b_1	1	distance
183	phi_d_2	1	age-diff
183	phi_e_2	1	age
183	phi_w_2	0	age
183	phi_b_2	0	age-diff
