sample	variable	value	description
223	whole_tree_age	24.5337	whole_tree_age
223	island_ori_age	9.98995	island_origin_age
223	island_ori_region	1	island_origin_region
223	rho_d_2	0.025	base_dispersal_rate
223	rho_e_2	0.025	base_extinction_rate
223	rho_w_2	0.025	base_w_speciation_rate
223	rho_b_2	0.15	base_b_speciation_rate
223	sigma_d_1	0	long-distance?
223	sigma_e_1	-1	high-island?
223	sigma_w_1	1	high-island?
223	sigma_b_1	0	long-distance?
223	sigma_d_2	0	old-to-young?
223	sigma_e_2	1	net-growth?
223	sigma_w_2	0	net-growth?
223	sigma_b_2	0	old-to-young?
223	phi_d_1	0	distance
223	phi_e_1	0	elevation
223	phi_w_1	0	elevation
223	phi_b_1	0	distance
223	phi_d_2	0	age-diff
223	phi_e_2	0	age
223	phi_w_2	0	age
223	phi_b_2	0	age-diff
