sample	variable	value	description
74	whole_tree_age	30.8348	whole_tree_age
74	island_ori_age	6.36508	island_origin_age
74	island_ori_region	2	island_origin_region
74	rho_d_2	0.05	base_dispersal_rate
74	rho_e_2	0.05	base_extinction_rate
74	rho_w_2	0.05	base_w_speciation_rate
74	rho_b_2	0.25	base_b_speciation_rate
74	sigma_d_1	0	long-distance?
74	sigma_e_1	0	high-island?
74	sigma_w_1	1.5	high-island?
74	sigma_b_1	0	long-distance?
74	sigma_d_2	0	old-to-young?
74	sigma_e_2	1.5	net-growth?
74	sigma_w_2	0	net-growth?
74	sigma_b_2	-1.5	old-to-young?
74	phi_d_1	0	distance
74	phi_e_1	-1	elevation
74	phi_w_1	0.5	elevation
74	phi_b_1	0	distance
74	phi_d_2	0.5	age-diff
74	phi_e_2	1	age
74	phi_w_2	0	age
74	phi_b_2	0	age-diff
