sample	variable	value	description
149	whole_tree_age	14.6046	whole_tree_age
149	island_ori_age	7.81332	island_origin_age
149	island_ori_region	1	island_origin_region
149	rho_d_2	0.05	base_dispersal_rate
149	rho_e_2	0.05	base_extinction_rate
149	rho_w_2	0.05	base_w_speciation_rate
149	rho_b_2	0.25	base_b_speciation_rate
149	sigma_d_1	0	long-distance?
149	sigma_e_1	0	high-island?
149	sigma_w_1	0	high-island?
149	sigma_b_1	1.5	long-distance?
149	sigma_d_2	1.5	old-to-young?
149	sigma_e_2	0	net-growth?
149	sigma_w_2	-1.5	net-growth?
149	sigma_b_2	-1.5	old-to-young?
149	phi_d_1	0	distance
149	phi_e_1	-1	elevation
149	phi_w_1	0	elevation
149	phi_b_1	0	distance
149	phi_d_2	0	age-diff
149	phi_e_2	0	age
149	phi_w_2	0	age
149	phi_b_2	0	age-diff
