sample	variable	value	description
146	whole_tree_age	17.2256	whole_tree_age
146	island_ori_age	8.49059	island_origin_age
146	island_ori_region	2	island_origin_region
146	rho_d_2	0.05	base_dispersal_rate
146	rho_e_2	0.05	base_extinction_rate
146	rho_w_2	0.05	base_w_speciation_rate
146	rho_b_2	0.25	base_b_speciation_rate
146	sigma_d_1	0	long-distance?
146	sigma_e_1	0	high-island?
146	sigma_w_1	1.5	high-island?
146	sigma_b_1	0	long-distance?
146	sigma_d_2	1.5	old-to-young?
146	sigma_e_2	1.5	net-growth?
146	sigma_w_2	-1.5	net-growth?
146	sigma_b_2	0	old-to-young?
146	phi_d_1	0	distance
146	phi_e_1	0	elevation
146	phi_w_1	0.5	elevation
146	phi_b_1	0	distance
146	phi_d_2	0.5	age-diff
146	phi_e_2	0	age
146	phi_w_2	-0.5	age
146	phi_b_2	0	age-diff
