sample	variable	value	description
8	whole_tree_age	30.9385	whole_tree_age
8	island_ori_age	17.5697	island_origin_age
8	island_ori_region	1	island_origin_region
8	rho_d_2	0.025	base_dispersal_rate
8	rho_e_2	0.025	base_extinction_rate
8	rho_w_2	0.025	base_w_speciation_rate
8	rho_b_2	0.15	base_b_speciation_rate
8	sigma_d_1	-1	long-distance?
8	sigma_e_1	-1	high-island?
8	sigma_w_1	1	high-island?
8	sigma_b_1	0	long-distance?
8	sigma_d_2	1	old-to-young?
8	sigma_e_2	0	net-growth?
8	sigma_w_2	-1	net-growth?
8	sigma_b_2	-1	old-to-young?
8	phi_d_1	0	distance
8	phi_e_1	-1	elevation
8	phi_w_1	0	elevation
8	phi_b_1	1	distance
8	phi_d_2	0	age-diff
8	phi_e_2	1	age
8	phi_w_2	0	age
8	phi_b_2	0	age-diff
