sample	variable	value	description
234	whole_tree_age	18.2816	whole_tree_age
234	island_ori_age	11.21	island_origin_age
234	island_ori_region	2	island_origin_region
234	rho_d_2	0.05	base_dispersal_rate
234	rho_e_2	0.05	base_extinction_rate
234	rho_w_2	0.05	base_w_speciation_rate
234	rho_b_2	0.2	base_b_speciation_rate
234	sigma_d_1	0	long-distance?
234	sigma_e_1	0	high-island?
234	sigma_w_1	1	high-island?
234	sigma_b_1	0	long-distance?
234	sigma_d_2	0	old-to-young?
234	sigma_e_2	-1	net-growth?
234	sigma_w_2	0	net-growth?
234	sigma_b_2	1	old-to-young?
234	phi_d_1	0	distance
234	phi_e_1	-1	elevation
234	phi_w_1	1	elevation
234	phi_b_1	0	distance
234	phi_d_2	0	age-diff
234	phi_e_2	1	age
234	phi_w_2	-1	age
234	phi_b_2	0	age-diff
