sample	variable	value	description
222	whole_tree_age	20.5483	whole_tree_age
222	island_ori_age	4.95674	island_origin_age
222	island_ori_region	2	island_origin_region
222	rho_d_2	0.05	base_dispersal_rate
222	rho_e_2	0.05	base_extinction_rate
222	rho_w_2	0.05	base_w_speciation_rate
222	rho_b_2	0.25	base_b_speciation_rate
222	sigma_d_1	-1.5	long-distance?
222	sigma_e_1	0	high-island?
222	sigma_w_1	1.5	high-island?
222	sigma_b_1	0	long-distance?
222	sigma_d_2	1.5	old-to-young?
222	sigma_e_2	1.5	net-growth?
222	sigma_w_2	0	net-growth?
222	sigma_b_2	-1.5	old-to-young?
222	phi_d_1	0	distance
222	phi_e_1	-1	elevation
222	phi_w_1	0	elevation
222	phi_b_1	0	distance
222	phi_d_2	0	age-diff
222	phi_e_2	0	age
222	phi_w_2	0	age
222	phi_b_2	0	age-diff
