sample	variable	value	description
1	whole_tree_age	29.9675	whole_tree_age
1	island_ori_age	18.7752	island_origin_age
1	island_ori_region	1	island_origin_region
1	rho_d_2	0.05	base_dispersal_rate
1	rho_e_2	0.05	base_extinction_rate
1	rho_w_2	0.05	base_w_speciation_rate
1	rho_b_2	0.25	base_b_speciation_rate
1	sigma_d_1	-1.5	long-distance?
1	sigma_e_1	-1.5	high-island?
1	sigma_w_1	1.5	high-island?
1	sigma_b_1	1.5	long-distance?
1	sigma_d_2	1.5	old-to-young?
1	sigma_e_2	1.5	net-growth?
1	sigma_w_2	-1.5	net-growth?
1	sigma_b_2	0	old-to-young?
1	phi_d_1	0	distance
1	phi_e_1	0	elevation
1	phi_w_1	0.5	elevation
1	phi_b_1	0	distance
1	phi_d_2	0.5	age-diff
1	phi_e_2	1	age
1	phi_w_2	-0.5	age
1	phi_b_2	0	age-diff
