sample	variable	value	description
106	whole_tree_age	23.0006	whole_tree_age
106	island_ori_age	4.41913	island_origin_age
106	island_ori_region	3	island_origin_region
106	rho_d_2	0.05	base_dispersal_rate
106	rho_e_2	0.05	base_extinction_rate
106	rho_w_2	0.05	base_w_speciation_rate
106	rho_b_2	0.25	base_b_speciation_rate
106	sigma_d_1	0	long-distance?
106	sigma_e_1	0	high-island?
106	sigma_w_1	0	high-island?
106	sigma_b_1	0	long-distance?
106	sigma_d_2	0	old-to-young?
106	sigma_e_2	1.5	net-growth?
106	sigma_w_2	0	net-growth?
106	sigma_b_2	0	old-to-young?
106	phi_d_1	0	distance
106	phi_e_1	0	elevation
106	phi_w_1	0.5	elevation
106	phi_b_1	1	distance
106	phi_d_2	0	age-diff
106	phi_e_2	1	age
106	phi_w_2	-0.5	age
106	phi_b_2	-1	age-diff
