sample	variable	value	description
319	whole_tree_age	3.62808	whole_tree_age
319	island_ori_age	1.44128	island_origin_age
319	island_ori_region	4	island_origin_region
319	rho_d_2	0.025	base_dispersal_rate
319	rho_e_2	0.025	base_extinction_rate
319	rho_w_2	0.025	base_w_speciation_rate
319	rho_b_2	0.15	base_b_speciation_rate
319	sigma_d_1	0	long-distance?
319	sigma_e_1	0	high-island?
319	sigma_w_1	1	high-island?
319	sigma_b_1	1	long-distance?
319	sigma_d_2	0	old-to-young?
319	sigma_e_2	1	net-growth?
319	sigma_w_2	-1	net-growth?
319	sigma_b_2	-1	old-to-young?
319	phi_d_1	0	distance
319	phi_e_1	-1	elevation
319	phi_w_1	0	elevation
319	phi_b_1	0	distance
319	phi_d_2	1	age-diff
319	phi_e_2	0	age
319	phi_w_2	-1	age
319	phi_b_2	0	age-diff
