sample	variable	value	description
321	whole_tree_age	23.5917	whole_tree_age
321	island_ori_age	19.3504	island_origin_age
321	island_ori_region	1	island_origin_region
321	rho_d_2	0.05	base_dispersal_rate
321	rho_e_2	0.05	base_extinction_rate
321	rho_w_2	0.05	base_w_speciation_rate
321	rho_b_2	0.25	base_b_speciation_rate
321	sigma_d_1	0	long-distance?
321	sigma_e_1	-1.5	high-island?
321	sigma_w_1	0	high-island?
321	sigma_b_1	1.5	long-distance?
321	sigma_d_2	0	old-to-young?
321	sigma_e_2	0	net-growth?
321	sigma_w_2	0	net-growth?
321	sigma_b_2	0	old-to-young?
321	phi_d_1	-0.5	distance
321	phi_e_1	0	elevation
321	phi_w_1	0	elevation
321	phi_b_1	0	distance
321	phi_d_2	0.5	age-diff
321	phi_e_2	1	age
321	phi_w_2	0	age
321	phi_b_2	-1	age-diff
