sample	variable	value	description
317	whole_tree_age	8.46914	whole_tree_age
317	island_ori_age	2.44194	island_origin_age
317	island_ori_region	3	island_origin_region
317	rho_d_2	0.05	base_dispersal_rate
317	rho_e_2	0.05	base_extinction_rate
317	rho_w_2	0.05	base_w_speciation_rate
317	rho_b_2	0.2	base_b_speciation_rate
317	sigma_d_1	0	long-distance?
317	sigma_e_1	0	high-island?
317	sigma_w_1	1	high-island?
317	sigma_b_1	0	long-distance?
317	sigma_d_2	0	old-to-young?
317	sigma_e_2	-1	net-growth?
317	sigma_w_2	-1	net-growth?
317	sigma_b_2	1	old-to-young?
317	phi_d_1	0	distance
317	phi_e_1	0	elevation
317	phi_w_1	1	elevation
317	phi_b_1	0	distance
317	phi_d_2	0	age-diff
317	phi_e_2	0	age
317	phi_w_2	0	age
317	phi_b_2	0	age-diff
