sample	variable	value	description
298	whole_tree_age	20.8101	whole_tree_age
298	island_ori_age	17.1854	island_origin_age
298	island_ori_region	1	island_origin_region
298	rho_d_2	0.025	base_dispersal_rate
298	rho_e_2	0.025	base_extinction_rate
298	rho_w_2	0.025	base_w_speciation_rate
298	rho_b_2	0.15	base_b_speciation_rate
298	sigma_d_1	-1	long-distance?
298	sigma_e_1	-1	high-island?
298	sigma_w_1	1	high-island?
298	sigma_b_1	0	long-distance?
298	sigma_d_2	0	old-to-young?
298	sigma_e_2	0	net-growth?
298	sigma_w_2	-1	net-growth?
298	sigma_b_2	0	old-to-young?
298	phi_d_1	0	distance
298	phi_e_1	-1	elevation
298	phi_w_1	0	elevation
298	phi_b_1	0	distance
298	phi_d_2	1	age-diff
298	phi_e_2	0	age
298	phi_w_2	0	age
298	phi_b_2	0	age-diff
