sample	variable	value	description
238	whole_tree_age	28.6858	whole_tree_age
238	island_ori_age	1.10165	island_origin_age
238	island_ori_region	5	island_origin_region
238	rho_d_2	0.025	base_dispersal_rate
238	rho_e_2	0.025	base_extinction_rate
238	rho_w_2	0.025	base_w_speciation_rate
238	rho_b_2	0.15	base_b_speciation_rate
238	sigma_d_1	0	long-distance?
238	sigma_e_1	-1	high-island?
238	sigma_w_1	0	high-island?
238	sigma_b_1	0	long-distance?
238	sigma_d_2	1	old-to-young?
238	sigma_e_2	1	net-growth?
238	sigma_w_2	-1	net-growth?
238	sigma_b_2	0	old-to-young?
238	phi_d_1	-1	distance
238	phi_e_1	-1	elevation
238	phi_w_1	1	elevation
238	phi_b_1	1	distance
238	phi_d_2	0	age-diff
238	phi_e_2	1	age
238	phi_w_2	0	age
238	phi_b_2	-1	age-diff
