sample	variable	value	description
281	whole_tree_age	17.7109	whole_tree_age
281	island_ori_age	15.9029	island_origin_age
281	island_ori_region	1	island_origin_region
281	rho_d_2	0.05	base_dispersal_rate
281	rho_e_2	0.05	base_extinction_rate
281	rho_w_2	0.05	base_w_speciation_rate
281	rho_b_2	0.25	base_b_speciation_rate
281	sigma_d_1	0	long-distance?
281	sigma_e_1	0	high-island?
281	sigma_w_1	0	high-island?
281	sigma_b_1	0	long-distance?
281	sigma_d_2	1.5	old-to-young?
281	sigma_e_2	0	net-growth?
281	sigma_w_2	-1.5	net-growth?
281	sigma_b_2	0	old-to-young?
281	phi_d_1	-0.5	distance
281	phi_e_1	-1	elevation
281	phi_w_1	0.5	elevation
281	phi_b_1	0	distance
281	phi_d_2	0.5	age-diff
281	phi_e_2	1	age
281	phi_w_2	-0.5	age
281	phi_b_2	-1	age-diff
