sample	variable	value	description
46	whole_tree_age	8.8458	whole_tree_age
46	island_ori_age	1.95113	island_origin_age
46	island_ori_region	3	island_origin_region
46	rho_d_2	0.05	base_dispersal_rate
46	rho_e_2	0.05	base_extinction_rate
46	rho_w_2	0.05	base_w_speciation_rate
46	rho_b_2	0.25	base_b_speciation_rate
46	sigma_d_1	0	long-distance?
46	sigma_e_1	0	high-island?
46	sigma_w_1	1.5	high-island?
46	sigma_b_1	0	long-distance?
46	sigma_d_2	1.5	old-to-young?
46	sigma_e_2	1.5	net-growth?
46	sigma_w_2	-1.5	net-growth?
46	sigma_b_2	-1.5	old-to-young?
46	phi_d_1	0	distance
46	phi_e_1	-1	elevation
46	phi_w_1	0	elevation
46	phi_b_1	0	distance
46	phi_d_2	0	age-diff
46	phi_e_2	0	age
46	phi_w_2	-0.5	age
46	phi_b_2	-1	age-diff
