sample	variable	value	description
218	whole_tree_age	22.6206	whole_tree_age
218	island_ori_age	4.57206	island_origin_age
218	island_ori_region	2	island_origin_region
218	rho_d_2	0.025	base_dispersal_rate
218	rho_e_2	0.025	base_extinction_rate
218	rho_w_2	0.025	base_w_speciation_rate
218	rho_b_2	0.15	base_b_speciation_rate
218	sigma_d_1	-1	long-distance?
218	sigma_e_1	-1	high-island?
218	sigma_w_1	0	high-island?
218	sigma_b_1	1	long-distance?
218	sigma_d_2	1	old-to-young?
218	sigma_e_2	0	net-growth?
218	sigma_w_2	0	net-growth?
218	sigma_b_2	-1	old-to-young?
218	phi_d_1	-1	distance
218	phi_e_1	0	elevation
218	phi_w_1	1	elevation
218	phi_b_1	0	distance
218	phi_d_2	0	age-diff
218	phi_e_2	1	age
218	phi_w_2	0	age
218	phi_b_2	0	age-diff
