sample	variable	value	description
102	whole_tree_age	22.0939	whole_tree_age
102	island_ori_age	19.1102	island_origin_age
102	island_ori_region	1	island_origin_region
102	rho_d_2	0.05	base_dispersal_rate
102	rho_e_2	0.05	base_extinction_rate
102	rho_w_2	0.05	base_w_speciation_rate
102	rho_b_2	0.2	base_b_speciation_rate
102	sigma_d_1	-1	long-distance?
102	sigma_e_1	0	high-island?
102	sigma_w_1	0	high-island?
102	sigma_b_1	1	long-distance?
102	sigma_d_2	1	old-to-young?
102	sigma_e_2	0	net-growth?
102	sigma_w_2	-1	net-growth?
102	sigma_b_2	1	old-to-young?
102	phi_d_1	-1	distance
102	phi_e_1	0	elevation
102	phi_w_1	0	elevation
102	phi_b_1	0	distance
102	phi_d_2	-1	age-diff
102	phi_e_2	1	age
102	phi_w_2	-1	age
102	phi_b_2	0	age-diff
