sample	variable	value	description
170	whole_tree_age	31.6826	whole_tree_age
170	island_ori_age	17.3378	island_origin_age
170	island_ori_region	1	island_origin_region
170	rho_d_2	0.05	base_dispersal_rate
170	rho_e_2	0.05	base_extinction_rate
170	rho_w_2	0.05	base_w_speciation_rate
170	rho_b_2	0.25	base_b_speciation_rate
170	sigma_d_1	0	long-distance?
170	sigma_e_1	-1.5	high-island?
170	sigma_w_1	0	high-island?
170	sigma_b_1	1.5	long-distance?
170	sigma_d_2	1.5	old-to-young?
170	sigma_e_2	0	net-growth?
170	sigma_w_2	0	net-growth?
170	sigma_b_2	-1.5	old-to-young?
170	phi_d_1	-0.5	distance
170	phi_e_1	-1	elevation
170	phi_w_1	0.5	elevation
170	phi_b_1	1	distance
170	phi_d_2	0	age-diff
170	phi_e_2	0	age
170	phi_w_2	-0.5	age
170	phi_b_2	-1	age-diff
