sample	variable	value	description
261	whole_tree_age	31.5565	whole_tree_age
261	island_ori_age	16.5775	island_origin_age
261	island_ori_region	1	island_origin_region
261	rho_d_2	0.025	base_dispersal_rate
261	rho_e_2	0.025	base_extinction_rate
261	rho_w_2	0.025	base_w_speciation_rate
261	rho_b_2	0.15	base_b_speciation_rate
261	sigma_d_1	0	long-distance?
261	sigma_e_1	0	high-island?
261	sigma_w_1	1	high-island?
261	sigma_b_1	0	long-distance?
261	sigma_d_2	1	old-to-young?
261	sigma_e_2	0	net-growth?
261	sigma_w_2	0	net-growth?
261	sigma_b_2	-1	old-to-young?
261	phi_d_1	-1	distance
261	phi_e_1	0	elevation
261	phi_w_1	0	elevation
261	phi_b_1	0	distance
261	phi_d_2	0	age-diff
261	phi_e_2	0	age
261	phi_w_2	0	age
261	phi_b_2	-1	age-diff
