sample	variable	value	description
240	whole_tree_age	30.9157	whole_tree_age
240	island_ori_age	18.0497	island_origin_age
240	island_ori_region	1	island_origin_region
240	rho_d_2	0.05	base_dispersal_rate
240	rho_e_2	0.05	base_extinction_rate
240	rho_w_2	0.05	base_w_speciation_rate
240	rho_b_2	0.25	base_b_speciation_rate
240	sigma_d_1	0	long-distance?
240	sigma_e_1	-1.5	high-island?
240	sigma_w_1	1.5	high-island?
240	sigma_b_1	1.5	long-distance?
240	sigma_d_2	0	old-to-young?
240	sigma_e_2	0	net-growth?
240	sigma_w_2	0	net-growth?
240	sigma_b_2	-1.5	old-to-young?
240	phi_d_1	-0.5	distance
240	phi_e_1	0	elevation
240	phi_w_1	0.5	elevation
240	phi_b_1	1	distance
240	phi_d_2	0.5	age-diff
240	phi_e_2	1	age
240	phi_w_2	0	age
240	phi_b_2	0	age-diff
